train_loss,valid_loss
0.983682,0.935979
0.945768,0.932874
0.936567,0.928913
0.931022,0.925781
0.928205,0.924903
0.926251,0.923622
0.924063,0.919605
0.922906,0.921694
0.922543,0.919526
0.921097,0.921453
0.920112,0.918968
0.919243,0.922366
0.918415,0.919047
0.881433,0.702371
0.707539,0.674443
0.691476,0.673053
0.687263,0.667615
0.669674,0.630251
0.586558,0.488022
0.469851,0.395336
0.422622,0.372169
0.396300,0.367728
0.382078,0.361915
0.372167,0.356104
0.363911,0.349867
0.357131,0.341359
0.328177,0.248079
0.268724,0.232419
0.249302,0.229714
0.238270,0.233655
0.230443,0.222326
0.224471,0.218424
0.219179,0.219963
0.214807,0.219522
0.210876,0.220609
0.208398,0.221050
0.205657,0.220657
0.203153,0.217847
0.200946,0.218997
0.199741,0.220684
0.197786,0.213219
0.196141,0.224197
0.194673,0.217961
0.193609,0.226020
0.192840,0.219912
0.191634,0.217838
0.190799,0.219572
