train_loss,valid_loss
1.018714,0.970015
0.982733,0.967150
0.973053,0.962669
0.968034,0.964007
0.966930,0.964189
0.964958,0.963303
0.964181,0.961560
0.963316,0.961869
0.963788,0.961417
0.963160,0.961440
0.961186,0.960974
0.962106,0.961130
0.961553,0.959375
0.962074,0.961232
0.961749,0.962327
0.871691,0.707081
0.716496,0.677295
0.692767,0.657776
0.679103,0.653315
0.672329,0.652354
0.667482,0.639094
0.592632,0.517997
0.462355,0.347243
0.377112,0.287287
0.329218,0.234037
0.288632,0.205166
0.254931,0.189510
0.228315,0.179997
0.211387,0.171939
0.199661,0.167761
0.190472,0.160359
0.182704,0.156230
0.176996,0.151398
0.171763,0.151197
0.167427,0.149806
0.164255,0.151096
0.160940,0.150865
0.159077,0.150452
0.155993,0.150739
0.153959,0.149016
0.152278,0.146432
0.150406,0.149640
0.148903,0.152110
0.147210,0.151908
0.145979,0.153321
0.144246,0.157244
0.143769,0.158026
