train_loss,valid_loss
0.978913,0.924477
0.937624,0.916130
0.925862,0.915929
0.920968,0.911099
0.917360,0.910697
0.914773,0.910087
0.911917,0.908722
0.911368,0.907721
0.910574,0.909014
0.909031,0.909151
0.907906,0.906873
0.907670,0.910129
0.906606,0.907846
0.908140,0.907325
0.905610,0.906705
0.792727,0.645861
0.616982,0.564500
0.554913,0.486583
0.495552,0.417236
0.429768,0.371858
0.393734,0.334158
0.353633,0.274583
0.313932,0.250772
0.290397,0.242021
0.275001,0.240494
0.263751,0.232295
0.254678,0.228369
0.247348,0.224627
0.241478,0.223131
0.236027,0.218576
0.231660,0.216350
0.226646,0.210546
0.224777,0.211747
0.221177,0.214831
0.217430,0.210788
0.215939,0.213567
0.213509,0.208614
0.211694,0.209709
0.210182,0.211923
0.208805,0.213185
0.206386,0.219712
0.205434,0.214238
0.204539,0.220724
