Column name,DE_load_actual_entsoe_transparency,DE_load_actual_entsoe_transparency,DE_load_actual_entsoe_transparency
Metrics,MAE,MSE,RMSE
0,0.4407008879502981,0.2662281923501995,0.5159730538993287
1,0.8015903511128227,0.8735028334786271,0.9346137349079711
2,0.9408032223267018,1.1901958710718272,1.09096098512817
3,0.8621122786934611,0.9932812372463391,0.9966349568655211
4,0.915887525279406,1.1085860821673246,1.0528941457560321
5,0.9289438541923101,1.1274829014498844,1.061829977656444
6,0.36415782869254737,0.27674823352830347,0.5260686585687304
7,0.503721110484184,0.34593827990988185,0.5881651808037278
8,0.7944714858492471,0.8395650888494804,0.9162778447880754
9,0.9243134580790645,1.0745584902883216,1.0366091309111267
10,1.0225893375274733,1.3896152108695317,1.1788194140196078
11,0.9396253269207064,1.1832247749623683,1.087761359380985
12,0.937225277751755,1.2044076940751827,1.0974550988879603
13,0.30386667884445445,0.19057028277698085,0.4365435634355188
14,0.5873839115190737,0.43419950659408607,0.6589381659868292
15,0.8467869046520926,0.9659560381568896,0.9828306253657797
16,0.944707371964157,1.1714637603281295,1.0823417945954639
17,1.3180679180061385,2.3185883110871957,1.5226911410680748
18,0.7447935044447193,0.7182350183932827,0.8474874738857694
19,0.5802420129659439,0.462925608052466,0.6803863667450032
20,0.2503377272630885,0.14258397251054492,0.3776029296900978
21,0.31076037208419693,0.17843036693868217,0.4224101880147805
22,1.2517667414541747,2.125746831590439,1.4579941123305125
23,0.711622529273396,0.691443548186952,0.8315308462029247
24,0.7047339624436608,0.6470928028437113,0.8044207871777751
25,0.3532156564175885,0.18653659988804225,0.4318988306166645
26,0.48591695925304385,0.34685909215559346,0.5889474443068697
27,0.23094710352348383,0.11817034138361639,0.34375913280030307
28,0.621801157638608,0.5898872481344131,0.7680411760670212
29,1.4724385816237702,2.8113029097810265,1.6766940417920697
30,0.6912165114340229,0.6571887612836605,0.8106717962798882
31,0.7675544875380179,0.774145015777861,0.8798551106732636
32,0.7751461825110358,0.8226644165900034,0.9070084986316299
33,0.4893757775038648,0.3351279849718858,0.5789023967577659
34,0.2934165333782288,0.13525724909779271,0.3677733664878314
35,0.4419322192603601,0.2735397479244087,0.5230102751614052
