Column name,DE_load_actual_entsoe_transparency,DE_load_actual_entsoe_transparency,DE_load_actual_entsoe_transparency
Metrics,MAE,MSE,RMSE
0,0.0648777895260189,0.007524416511470205,0.0867433946273156
1,0.8358713885092581,0.9352421593396419,0.9670791897976307
2,0.5143352333031919,0.36880322112273767,0.607291710072464
3,0.3517555913274588,0.16700491178009358,0.4086623444606728
4,0.335295230843984,0.15457587824682148,0.3931613895677213
5,0.22465135843170292,0.07724163638823615,0.27792379600933087
6,0.727664595557604,0.5923869842041611,0.7696668007678135
7,0.5482677606129128,0.3620518458207653,0.6017074420520035
8,0.8545409883746364,0.9209515064655825,0.9596621835133353
9,0.5554597953625767,0.40619945099455673,0.6373377840631738
10,0.45006580641928773,0.2868159276115479,0.5355519840422103
11,0.1996225674050948,0.05423210046744442,0.23287786598868607
12,0.26301878389049566,0.09762002032673733,0.31244202714541675
13,0.5350330766365878,0.3415897579932116,0.5844568059259911
14,0.5970036851841035,0.4321953388802074,0.6574156515327326
15,0.7253410543643238,0.7061665470881175,0.8403371627436915
16,0.41156400411621696,0.21337563826205996,0.4619260095102461
17,0.48121903565524554,0.2954457572023262,0.5435492224282233
18,0.23362918643321048,0.1140914248854011,0.3377742217597446
19,0.15915432697780996,0.05081903017514927,0.225430765813252
20,0.635128282653617,0.47943990921908197,0.692415994340889
21,0.3986319747320281,0.23289548422506057,0.48259246184027843
22,0.62985701360021,0.5202082885064346,0.7212546627276906
23,0.3030243109574267,0.11548262819244585,0.3398273505656157
24,0.2592269321235852,0.08628897659000695,0.2937498537701882
25,0.20594438946802981,0.05200918245995458,0.22805521800641743
26,0.31440928055507655,0.13840439595007278,0.37202741290135166
27,0.09252117421979983,0.018531719335619232,0.13613125774640897
28,0.23191442422024142,0.09861935000398614,0.3140371793338906
29,1.024089195637486,1.3407503796388085,1.1579077595554874
30,0.26647724679511686,0.09519688565363997,0.30853992554228693
31,0.4604279642407481,0.27308541364877964,0.5225757491969749
32,0.29996115249267813,0.12664379978136564,0.3558704817505459
33,0.22922501288273622,0.08702990528398362,0.2950083139234954
34,0.6420772126703892,0.49090094798097433,0.700643238732077
35,0.4267467095751541,0.2667070661318884,0.5164368946269121
