train_loss,valid_loss
0.933654,0.884714
0.886754,0.878754
0.876304,0.871114
0.869245,0.870331
0.864570,0.864938
0.861298,0.864562
0.857811,0.864233
0.856834,0.863634
0.856975,0.861473
0.855501,0.861993
0.853254,0.861203
0.760800,0.519234
0.548637,0.497979
0.534049,0.492109
0.528663,0.487661
0.524513,0.488906
0.522943,0.486233
0.519693,0.486124
0.499531,0.446419
0.420515,0.313727
0.331455,0.256798
0.288136,0.235514
0.257434,0.183622
0.223828,0.164011
0.204127,0.151608
0.191900,0.148005
0.182754,0.140515
0.176847,0.142582
0.170897,0.135697
0.167176,0.131762
0.163113,0.133507
0.159437,0.127773
0.155676,0.128293
0.154005,0.126802
0.151548,0.126413
0.149773,0.126115
0.147534,0.127143
0.146127,0.127734
0.144292,0.125031
0.142769,0.118995
0.141635,0.124407
0.140852,0.125281
0.139796,0.120763
0.138251,0.125255
0.137826,0.123113
0.136674,0.129259
