train_loss,valid_loss
0.979403,0.918168
0.920794,0.901758
0.904420,0.891243
0.893805,0.888875
0.887785,0.884438
0.881745,0.883764
0.878184,0.881353
0.874546,0.878194
0.873796,0.876898
0.871647,0.878388
0.871184,0.876242
0.869651,0.876049
0.869155,0.878457
0.868186,0.875256
0.867127,0.877722
0.866783,0.876862
0.730814,0.498520
0.513901,0.486189
0.500329,0.482223
0.494337,0.477449
0.490602,0.477210
0.488550,0.474912
0.485893,0.477353
0.484606,0.474361
0.483175,0.473383
0.482540,0.474393
0.482207,0.473967
0.477764,0.456999
0.444104,0.418731
0.418758,0.381959
0.382067,0.307733
0.299452,0.247174
0.271856,0.237476
0.259974,0.231879
0.250720,0.227923
0.243933,0.222817
0.236518,0.216843
0.229484,0.211561
0.221925,0.199556
0.208861,0.176850
0.192867,0.165170
0.182769,0.157214
0.176461,0.154789
0.171373,0.149284
0.165793,0.147469
0.161593,0.144372
0.158099,0.140371
0.154436,0.139288
0.151627,0.135725
0.149231,0.134809
0.147876,0.134236
0.144793,0.131580
0.143086,0.131049
0.141883,0.131571
0.140182,0.129328
0.139412,0.129571
0.137287,0.127595
0.136272,0.128751
0.135726,0.127215
0.134773,0.124731
0.133590,0.126435
0.132995,0.125553
0.131869,0.125165
0.131686,0.127947
0.130757,0.127620
0.130211,0.125267
